Designator,Mid X,Mid Y,Rotation,Layer
C1,38.7682,35.1556,90.0,top
C10,41.5876,5.663401,270.0,top
C11,40.4446,5.663401,270.0,top
C12,18.6916,51.1366,180.0,top
C13,17.5102,52.5706,180.0,top
C14,20.7972,51.1366,0.0,top
C15,21.9552,52.5336,0.0,top
C16,57.299,46.4376,180.0,top
C17,57.8578,44.9136,180.0,top
C18,63.8502,30.588,0.0,top
C19,76.4252,45.0406,0.0,top
C2,40.0382,35.1556,90.0,top
C20,65.933,30.588,0.0,top
C21,50.7712,22.0666,90.0,top
C22,52.2952,22.0666,90.0,top
C23,55.9802,19.9716,270.0,top
C24,52.2852,25.0916,270.0,top
C25,50.7702,25.0916,270.0,top
C26,53.9614,40.341601,0.0,top
C27,54.063,46.437599,0.0,top
C28,32.7372,44.6166,0.0,top
C29,32.7372,50.7126,0.0,top
C3,41.3082,35.1556,90.0,top
C30,71.6082,18.1166,180.0,top
C31,71.6082,16.9736,180.0,top
C32,70.329201,14.820099,180.0,top
C33,70.329201,8.527099,180.0,top
C34,61.4867,20.8871,0.0,top
C35,63.5187,20.8871,180.0,top
C36,66.0192,24.0896,0.0,top
C37,66.0192,22.3116,0.0,top
C38,72.6152,14.8186,90.0,top
C4,42.5782,35.1556,90.0,top
C5,44.3562,35.9456,90.0,top
C6,46.6422,35.9456,90.0,top
C7,53.2716,36.0838,180.0,top
C8,53.2652,32.7066,180.0,top
C9,21.9422,15.7036,180.0,top
D1,52.4702,30.4266,180.0,top
D10,71.5992,25.7366,0.0,top
D11,80.8447,14.4336,0.0,top
D12,36.9499,34.399,180.0,top
D2,21.9422,22.6886,0.0,top
D3,48.0138,5.189,180.0,top
D4,19.7832,52.5026,270.0,top
D5,73.8242,30.6196,90.0,top
D6,71.6672,30.6196,90.0,top
D7,76.9332,40.0876,270.0,top
D8,76.4252,43.7706,180.0,top
D9,76.4252,47.5806,180.0,top
E1,3.3862,23.3086,90.0,top
F1,69.4212,18.1166,90.0,top
FB1,48.9282,35.9456,90.0,top
FB2,73.6312,17.9896,270.0,top
J1,56.9506,10.8278,0.0,top
J3,78.6,21.7996,90.0,top
J4,75.4102,8.7186,270.0,bottom
J5,79.1684,31.7056,90.0,top
J6,17.2352,29.0386,180.0,top
L1,55.0502,27.6866,270.0,top
L2,16.9892,32.3406,180.0,top
Q1,20.7992,19.2596,180.0,top
Q2,20.9262,13.2906,180.0,top
Q3,20.9262,8.4646,180.0,top
Q4,20.7992,25.2286,180.0,top
Q5,39.7222,47.7076,270.0,top
Q6,36.4202,47.4536,270.0,top
Q7,69.8872,5.7921,0.0,top
R1,19.9102,22.8156,180.0,top
R10,19.6542,27.6206,0.0,top
R11,21.9402,27.6206,0.0,top
R12,17.7152,37.9286,180.0,top
R13,76.4252,46.3106,180.0,top
R14,57.8832,43.0086,0.0,top
R15,63.8502,31.7056,180.0,top
R16,76.4252,42.5006,180.0,top
R17,76.4272,36.4226,180.0,top
R18,76.4272,37.6746,180.0,top
R19,62.0742,31.1976,90.0,top
R2,19.9102,21.6726,0.0,top
R20,57.8832,39.5796,0.0,top
R21,57.8832,40.7226,0.0,top
R22,73.8242,28.2066,0.0,top
R23,71.6672,28.2066,180.0,top
R24,57.5002,19.9666,90.0,top
R25,57.5002,22.9816,90.0,top
R26,39.7222,44.6596,180.0,top
R27,36.4202,44.6596,0.0,top
R28,71.6082,19.2596,180.0,top
R29,71.6082,24.5936,180.0,top
R3,19.9102,16.8466,180.0,top
R30,78.0507,14.4336,0.0,top
R31,68.0432,14.8146,90.0,top
R32,61.1852,25.7366,270.0,top
R33,35.9468,35.4912,180.0,top
R34,33.0389,35.4912,180.0,top
R35,30.1556,35.5666,180.0,top
R36,20.6722,30.9436,135.0,top
R4,21.9422,16.8466,0.0,top
R5,21.9422,10.8776,180.0,top
R6,19.9102,10.8776,180.0,top
R7,43.8736,5.663402,270.0,top
R8,42.7306,5.663402,90.0,top
R9,45.0166,5.663401,270.0,top
SW1,80.1602,45.2466,90.0,top
SW2,80.1602,39.0716,270.0,top
U1,36.4822,20.2966,0.0,top
U10,62.4552,23.1966,0.0,top
U2,21.0152,44.5326,270.0,top
U3,67.1542,40.4686,0.0,top
U4,55.0102,23.5541,90.0,top
U5,54.0122,43.3896,0.0,top
U6,32.7372,47.6591,270.0,top
U7,70.0752,11.6396,270.0,top
U8,71.9802,21.9266,90.0,top
U9,75.0762,14.8186,270.0,top
Y1,64.917,28.81,0.0,top
